Member_number,Date,itemDescription
1005,23-01-2014,whipped/sour cream
1005,9/1/2014,rolls/buns
1005,23-01-2014,margarine
1005,9/1/2014,rolls/buns
1006,14-06-2015,whole milk
1006,14-06-2015,frankfurter
1006,14-06-2015,chicken
1006,14-06-2015,frankfurter
1006,9/4/2014,whole milk
1006,5/7/2014,bottled water
1006,14-06-2015,flour
1006,14-06-2015,chocolate
1006,14-06-2015,bottled beer
1006,14-06-2015,rolls/buns
1006,9/4/2014,rice
1006,5/7/2014,softener
1006,11/7/2014,shopping bags
1006,5/7/2014,rolls/buns
1006,11/7/2014,skin care
1008,3/10/2015,hamburger meat
1008,21-07-2015,tropical fruit
1008,21-07-2015,soda
1008,3/10/2015,liquor (appetizer)
1008,21-07-2015,yogurt
1008,3/10/2015,liver loaf
1008,21-07-2015,root vegetables
1008,21-07-2015,yogurt
1008,3/10/2015,dessert
1008,21-07-2015,domestic eggs
1008,21-07-2015,white wine
1008,21-07-2015,photo/film
1009,5/10/2015,herbs
1009,23-09-2015,pastry
1009,14-05-2015,tropical fruit
1009,5/10/2015,yogurt
1009,23-09-2015,ketchup
1009,14-05-2015,yogurt
1009,24-01-2014,canned fish
1009,5/10/2015,newspapers
1009,24-01-2014,cocoa drinks
1010,31-07-2015,pip fruit
1010,27-08-2014,frankfurter
1010,5/3/2014,pip fruit
1010,23-08-2014,bottled water
1010,31-07-2015,candles
1010,27-08-2014,bottled water
1010,5/3/2014,coffee
1010,23-08-2014,specialty bar
1010,10/4/2014,kitchen towels
1010,31-07-2015,rolls/buns
1010,5/3/2014,UHT-milk
1010,10/4/2014,sliced cheese
1011,9/12/2015,whole milk
1011,9/12/2015,frankfurter
1011,9/12/2015,candles
1011,15-02-2014,citrus fruit
1011,2/6/2014,curd cheese
1011,9/12/2015,grapes
1011,9/12/2015,herbs
1011,9/12/2015,other vegetables
1011,15-02-2014,candy
1011,2/6/2014,pastry
1011,15-02-2014,bottled water
1011,9/12/2015,yogurt
1011,15-02-2014,rolls/buns
1012,3/10/2015,frankfurter
1012,27-03-2015,processed cheese
1012,19-11-2015,tropical fruit
1012,19-11-2015,root vegetables
1012,3/10/2015,yogurt
1012,27-03-2015,whole milk
1012,19-11-2015,rolls/buns
1012,19-11-2015,onions
1012,22-06-2014,frozen vegetables
1012,19-11-2015,shopping bags
1012,22-06-2014,brown bread
1013,2/7/2015,frozen meals
1013,2/10/2015,white bread
1013,2/10/2015,meat
1013,20-02-2014,whole milk
1013,26-03-2014,tropical fruit
1013,28-03-2014,mustard
1013,17-01-2014,hard cheese
1013,12/11/2014,root vegetables
1013,15-07-2014,other vegetables
1013,2/7/2015,whole milk
1013,2/10/2015,domestic eggs
1013,2/10/2015,roll products 
1013,20-02-2014,candy
1013,26-03-2014,frozen vegetables
1013,28-03-2014,whipped/sour cream
1013,17-01-2014,napkins
1013,12/11/2014,mayonnaise
1013,15-07-2014,mustard
1013,17-01-2014,bottled water
1014,3/10/2015,whole milk
1014,4/1/2015,canned beer
1014,3/10/2015,sausage
1014,4/9/2014,hamburger meat
1014,6/10/2014,whole milk
1014,3/10/2015,bottled beer
1014,4/1/2015,cookware
1014,3/10/2015,yogurt
1014,4/9/2014,butter milk
1014,6/10/2014,rolls/buns
1015,4/5/2015,citrus fruit
1015,22-03-2015,salty snack
1015,28-06-2014,fruit/vegetable juice
1015,4/5/2015,whole milk
1015,22-03-2015,beef
1015,28-06-2014,rolls/buns
1015,28-06-2014,chocolate
1016,5/10/2015,UHT-milk
1016,23-04-2015,soft cheese
1016,30-09-2015,rolls/buns
1016,19-07-2015,chicken
1016,30-09-2015,frankfurter
1016,5/10/2015,bottled beer
1016,23-04-2015,pip fruit
1016,30-09-2015,oil
1016,19-07-2015,red/blush wine
1016,30-09-2015,pip fruit
1016,30-09-2015,mayonnaise
1017,30-09-2015,soda
1017,16-05-2015,other vegetables
1017,19-06-2014,yogurt
1017,21-02-2014,other vegetables
1017,30-09-2015,dessert
1017,16-05-2015,rolls/buns
1017,19-06-2014,beef
1017,21-02-2014,root vegetables
1017,14-10-2014,brown bread
1017,30-09-2015,shopping bags
1017,14-10-2014,pet care
1018,23-05-2015,butter milk
1018,1/10/2014,curd
1018,27-05-2014,berries
1018,15-04-2014,beverages
1018,23-05-2015,root vegetables
1018,1/10/2014,long life bakery product
1018,27-05-2014,cake bar
1018,15-04-2014,domestic eggs
1019,10/12/2014,hamburger meat
1019,10/12/2014,red/blush wine
1020,13-10-2015,canned beer
1020,12/8/2014,canned beer
1020,19-07-2014,frozen meals
1020,13-10-2015,spices
1020,13-10-2015,rolls/buns
1020,12/8/2014,shopping bags
1020,19-07-2014,butter
1020,13-10-2015,frozen fish
1020,19-07-2014,newspapers
1020,19-07-2014,yogurt
1021,7/11/2015,rolls/buns
1021,22-10-2015,liquor
1021,22-10-2015,curd
1021,30-05-2014,sliced cheese
1021,7/11/2015,baking powder
1021,22-10-2015,yogurt
1021,22-10-2015,tropical fruit
1021,30-05-2014,butter
1022,7/6/2014,sausage
1022,22-02-2014,beef
1022,25-03-2014,whole milk
1022,7/6/2014,fruit/vegetable juice
1022,22-02-2014,napkins
1022,25-03-2014,whipped/sour cream
1023,28-06-2015,white bread
1023,6/1/2015,whipped/sour cream
1023,28-06-2015,bottled beer
1023,6/1/2015,root vegetables
1023,30-12-2014,sausage
1023,13-06-2014,domestic eggs
1023,17-05-2014,chicken
1023,22-05-2014,male cosmetics
1023,28-06-2015,yogurt
1023,6/1/2015,rolls/buns
1023,28-06-2015,berries
1023,6/1/2015,packaged fruit/vegetables
1023,30-12-2014,whipped/sour cream
1023,13-06-2014,soda
1023,17-05-2014,frozen meals
1023,22-05-2014,curd
1023,30-12-2014,specialty bar
1024,10/8/2015,fish
1024,10/8/2015,root vegetables
1024,10/8/2015,tropical fruit
1024,10/8/2015,other vegetables
1025,19-08-2015,canned beer
1025,10/3/2014,ham
1025,6/2/2014,coffee
1025,19-08-2015,UHT-milk
1025,10/3/2014,cream cheese 
1025,6/2/2014,shopping bags
1026,15-03-2015,fruit/vegetable juice
1026,28-05-2015,root vegetables
1026,15-03-2015,salty snack
1026,28-05-2015,whipped/sour cream
1026,23-08-2014,citrus fruit
1026,8/3/2014,sausage
1026,18-06-2014,root vegetables
1026,15-03-2015,candy
1026,28-05-2015,root vegetables
1026,15-03-2015,dental care
1026,28-05-2015,canned beer
1026,23-08-2014,yogurt
1026,8/3/2014,dessert
1026,18-06-2014,long life bakery product
1026,8/3/2014,rolls/buns
1026,15-03-2015,butter
1026,8/3/2014,pickled vegetables
1027,17-05-2015,pork
1027,25-02-2015,rolls/buns
1027,14-05-2014,softener
1027,17-05-2015,hamburger meat
1027,25-02-2015,red/blush wine
1027,14-05-2014,salt
1027,22-09-2014,rolls/buns
1027,14-05-2014,whole milk
1027,22-09-2014,bottled water
1028,11/7/2015,specialty chocolate
1028,2/6/2015,onions
1028,10/11/2014,soda
1028,24-04-2014,rolls/buns
1028,5/4/2014,rolls/buns
1028,11/7/2015,root vegetables
1028,2/6/2015,canned beer
1028,10/11/2014,butter
1028,24-04-2014,baking powder
1028,5/4/2014,sugar
1028,24-04-2014,onions
1028,2/6/2015,flower (seeds)
1028,24-04-2014,bottled water
1029,14-03-2015,dessert
1029,14-03-2015,ham
1031,26-08-2015,beverages
1031,15-10-2015,other vegetables
1031,4/3/2014,ice cream
1031,26-08-2015,cream cheese 
1031,15-10-2015,other vegetables
1031,4/3/2014,pot plants
1031,15-10-2015,berries
1032,15-06-2015,berries
1032,23-08-2015,yogurt
1032,13-07-2015,ice cream
1032,15-06-2015,soda
1032,15-06-2015,butter
1032,23-09-2014,white bread
1032,26-01-2014,whipped/sour cream
1032,15-06-2015,other vegetables
1032,23-08-2015,root vegetables
1032,13-07-2015,whipped/sour cream
1032,15-06-2015,white bread
1032,15-06-2015,cream cheese 
1032,23-09-2014,whole milk
1032,26-01-2014,newspapers
1032,23-09-2014,pastry
1032,23-09-2014,shopping bags
1033,22-04-2015,tropical fruit
1033,15-06-2015,chicken
1033,21-04-2014,sausage
1033,2/3/2014,frankfurter
1033,18-04-2014,fruit/vegetable juice
1033,22-04-2015,soda
1033,15-06-2015,waffles
1033,21-04-2014,snack products
1033,2/3/2014,pastry
1033,18-04-2014,dessert
1033,22-04-2015,rolls/buns
1033,21-04-2014,rolls/buns
1034,24-02-2014,pip fruit
1034,28-04-2014,bottled water
1034,13-05-2014,tropical fruit
1034,24-02-2014,cling film/bags
1034,28-04-2014,domestic eggs
1034,13-05-2014,newspapers
1034,24-02-2014,yogurt
1034,24-02-2014,cat food
1034,28-04-2014,frozen meals
1035,8/9/2015,whole milk
1035,24-04-2015,whole milk
1035,23-05-2015,sausage
1035,24-04-2015,yogurt
1035,15-08-2014,pip fruit
1035,25-06-2014,whole milk
1035,8/9/2015,newspapers
1035,24-04-2015,yogurt
1035,23-05-2015,frozen vegetables
1035,24-04-2015,rolls/buns
1035,15-08-2014,white wine
1035,25-06-2014,frozen vegetables
1035,15-08-2014,white bread
1035,15-08-2014,salt
1036,20-01-2014,fruit/vegetable juice
1036,20-01-2014,vinegar
1037,16-12-2015,frankfurter
1037,6/6/2014,citrus fruit
1037,24-02-2014,tropical fruit
1037,16-12-2015,yogurt
1037,6/6/2014,shopping bags
1037,24-02-2014,white bread
1037,24-02-2014,rolls/buns
1037,6/6/2014,chewing gum
1037,6/6/2014,cake bar
1037,16-12-2015,canned beer
1038,10/4/2015,other vegetables
1038,23-04-2015,pip fruit
1038,2/4/2015,whole milk
1038,21-02-2015,sausage
1038,14-12-2015,Instant food products
1038,21-02-2015,pork
1038,28-01-2014,margarine
1038,14-12-2015,whipped/sour cream
1038,10/4/2015,specialty chocolate
1038,23-04-2015,herbs
1038,2/4/2015,pip fruit
1038,21-02-2015,butter
1038,14-12-2015,butter
1038,21-02-2015,whole milk
1038,28-01-2014,napkins
1038,14-12-2015,cake bar
1038,2/4/2015,whipped/sour cream
1038,23-04-2015,frozen meals
1038,21-02-2015,fruit/vegetable juice
1039,31-05-2015,salty snack
1039,31-05-2015,rolls/buns
1040,26-11-2015,tropical fruit
1040,26-11-2015,chicken
1040,14-06-2014,yogurt
1040,3/9/2014,whole milk
1040,24-10-2014,root vegetables
1040,26-11-2015,onions
1040,26-11-2015,packaged fruit/vegetables
1040,14-06-2014,rolls/buns
1040,3/9/2014,pasta
1040,24-10-2014,white bread
1040,3/9/2014,rolls/buns
1041,2/4/2015,hamburger meat
1041,13-06-2014,chicken
1041,29-06-2014,tropical fruit
1041,7/7/2014,prosecco
1041,2/4/2015,yogurt
1041,13-06-2014,frozen vegetables
1041,29-06-2014,brown bread
1041,7/7/2014,dessert
1041,13-06-2014,candy
1041,29-06-2014,whole milk
1042,12/2/2015,beef
1042,22-05-2015,citrus fruit
1042,16-10-2015,whole milk
1042,12/2/2015,dessert
1042,22-05-2015,bottled water
1042,16-10-2015,other vegetables
1043,10/1/2015,citrus fruit
1043,14-03-2014,tropical fruit
1043,16-06-2014,napkins
1043,10/1/2015,rolls/buns
1043,14-03-2014,sliced cheese
1043,16-06-2014,whole milk
1043,10/1/2015,whole milk
1043,16-06-2014,chocolate marshmallow
1044,9/2/2015,tropical fruit
1044,25-10-2015,root vegetables
1044,9/2/2015,other vegetables
1044,25-10-2015,curd
1045,25-11-2015,chicken
1045,10/4/2014,fruit/vegetable juice
1045,12/1/2014,root vegetables
1045,25-11-2015,onions
1045,10/4/2014,specialty chocolate
1045,12/1/2014,yogurt
1045,12/1/2014,butter
1045,12/1/2014,yogurt
1045,10/4/2014,Instant food products
1046,18-06-2015,whole milk
1046,24-06-2015,pork
1046,18-06-2015,pastry
1046,24-06-2015,bottled water
1047,9/8/2015,sweet spreads
1047,4/1/2015,curd
1047,17-12-2014,pip fruit
1047,9/8/2015,butter
1047,4/1/2015,soda
1047,17-12-2014,soda
1048,18-10-2015,rolls/buns
1048,6/10/2015,rolls/buns
1048,6/10/2015,condensed milk
1048,18-10-2015,tropical fruit
1048,6/10/2015,whole milk
1048,6/10/2015,soda
1049,1/7/2015,butter
1049,5/9/2015,frankfurter
1049,4/8/2015,white bread
1049,7/1/2014,specialty bar
1049,1/7/2015,whole milk
1049,5/9/2015,herbs
1049,4/8/2015,candy
1049,7/1/2014,margarine
1050,4/5/2015,meat
1050,12/10/2014,UHT-milk
1050,10/10/2014,whipped/sour cream
1050,6/3/2014,house keeping products
1050,30-05-2014,pasta
1050,15-02-2014,waffles
1050,4/5/2015,whole milk
1050,12/10/2014,other vegetables
1050,10/10/2014,hygiene articles
1050,6/3/2014,yogurt
1050,30-05-2014,yogurt
1050,15-02-2014,beverages
1050,12/10/2014,dishes
1050,30-05-2014,cat food
1051,10/11/2015,fish
1051,12/10/2015,tropical fruit
1051,12/8/2015,other vegetables
1051,10/11/2015,tropical fruit
1051,12/10/2015,other vegetables
1051,17-09-2014,pork
1051,13-01-2014,hamburger meat
1051,12/8/2015,soda
1051,10/11/2015,red/blush wine
1051,12/10/2015,hamburger meat
1051,12/8/2015,rolls/buns
1051,10/11/2015,cream cheese 
1051,12/10/2015,popcorn
1051,17-09-2014,coffee
1051,13-01-2014,bottled beer
1051,12/8/2015,dishes
1051,26-12-2014,shopping bags
1051,17-09-2014,frozen vegetables
1051,12/10/2015,female sanitary products
1051,26-12-2014,shopping bags
1052,6/7/2015,butter milk
1052,27-10-2015,pork
1052,15-05-2015,frankfurter
1052,27-10-2015,other vegetables
1052,6/7/2015,yogurt
1052,29-09-2014,butter
1052,20-11-2014,bottled water
1052,24-03-2014,chicken
1052,5/12/2014,soda
1052,13-10-2014,soda
1052,4/1/2014,beef
1052,15-01-2014,root vegetables
1052,6/7/2015,yogurt
1052,27-10-2015,yogurt
1052,15-05-2015,whipped/sour cream
1052,27-10-2015,shopping bags
1052,6/7/2015,margarine
1052,29-09-2014,dog food
1052,20-11-2014,chewing gum
1052,24-03-2014,beverages
1052,5/12/2014,hamburger meat
1052,13-10-2014,whole milk
1052,4/1/2014,shopping bags
1052,15-01-2014,grapes
1052,24-03-2014,coffee
1052,27-10-2015,soft cheese
1052,27-10-2015,detergent
1053,9/7/2015,hamburger meat
1053,5/11/2014,chicken
1053,16-05-2014,waffles
1053,30-04-2014,soda
1053,23-05-2014,whole milk
1053,10/12/2014,other vegetables
1053,9/7/2015,pastry
1053,5/11/2014,frozen vegetables
1053,16-05-2014,rolls/buns
1053,30-04-2014,soda
1053,23-05-2014,sugar
1053,10/12/2014,whole milk
1054,4/10/2015,frankfurter
1054,21-10-2015,photo/film
1054,2/9/2015,bottled beer
1054,4/10/2015,citrus fruit
1054,21-10-2015,other vegetables
1054,2/9/2015,oil
1054,4/10/2015,margarine
1054,16-01-2014,soda
1054,16-01-2014,fruit/vegetable juice
1055,25-05-2015,bottled water
1055,25-05-2015,yogurt
1055,5/8/2014,pork
1055,25-05-2015,newspapers
1055,25-05-2015,soda
1055,5/8/2014,white wine
1056,13-09-2015,pip fruit
1056,9/11/2015,whipped/sour cream
1056,24-09-2014,ham
1056,13-09-2015,other vegetables
1056,9/11/2015,meat spreads
1056,24-09-2014,whole milk
1057,6/1/2014,soda
1057,8/6/2014,tropical fruit
1057,6/1/2014,domestic eggs
1057,8/6/2014,UHT-milk
1057,5/3/2014,salty snack
1057,6/1/2014,sliced cheese
1057,6/1/2014,soda
1057,5/3/2014,pickled vegetables
1058,10/11/2015,root vegetables
1058,6/4/2015,sausage
1058,7/8/2014,yogurt
1058,24-05-2014,chicken
1058,10/11/2015,other vegetables
1058,6/4/2015,bottled water
1058,7/8/2014,root vegetables
1058,24-05-2014,other vegetables
1059,14-06-2014,sausage
1059,14-06-2014,salty snack
1059,11/6/2014,dessert
1059,14-06-2014,cling film/bags
1059,11/6/2014,spread cheese
1061,5/9/2015,whole milk
1061,5/9/2015,tropical fruit
1061,17-03-2014,soda
1061,31-07-2014,whipped/sour cream
1061,19-05-2014,beef
1061,23-10-2014,beverages
1061,5/9/2015,root vegetables
1061,5/9/2015,Instant food products
1061,17-03-2014,fruit/vegetable juice
1061,31-07-2014,hard cheese
1061,19-05-2014,chocolate
1061,23-10-2014,dessert
1061,17-03-2014,bottled beer
1061,5/9/2015,margarine
1062,18-09-2015,other vegetables
1062,16-04-2015,tropical fruit
1062,18-09-2015,yogurt
1062,7/11/2014,ham
1062,26-01-2014,whole milk
1062,16-04-2015,whole milk
1062,18-09-2015,whole milk
1062,16-04-2015,other vegetables
1062,18-09-2015,butter
1062,7/11/2014,whipped/sour cream
1062,26-01-2014,sauces
1062,16-04-2015,long life bakery product
1062,8/5/2014,white bread
1062,7/11/2014,ketchup
1062,18-09-2015,shopping bags
1062,8/5/2014,frozen fruits
1063,23-01-2015,rolls/buns
1063,7/6/2014,whole milk
1063,23-01-2015,candy
1063,7/6/2014,citrus fruit
1064,25-07-2015,long life bakery product
1064,3/9/2014,root vegetables
1064,21-04-2014,cream cheese 
1064,25-07-2015,root vegetables
1064,3/9/2014,whole milk
1064,21-04-2014,rolls/buns
1064,25-07-2015,other vegetables
1065,13-11-2015,frankfurter
1065,27-10-2015,beef
1065,25-12-2014,red/blush wine
1065,23-01-2014,hamburger meat
1065,5/11/2014,tropical fruit
1065,14-01-2014,tropical fruit
1065,13-11-2015,tropical fruit
1065,27-10-2015,dessert
1065,25-12-2014,frozen fish
1065,23-01-2014,soda
1065,5/11/2014,rolls/buns
1065,14-01-2014,whole milk
1065,14-01-2014,long life bakery product
1065,14-01-2014,rum
1066,1/2/2014,root vegetables
1066,15-05-2014,whole milk
1066,1/2/2014,bottled beer
1066,15-05-2014,other vegetables
1066,12/6/2014,oil
1066,12/6/2014,shopping bags
1067,8/4/2015,hamburger meat
1067,20-07-2015,rolls/buns
1067,5/3/2015,whole milk
1067,20-07-2015,tropical fruit
1067,8/4/2015,pork
1067,20-07-2015,coffee
1067,5/3/2015,tropical fruit
1067,20-07-2015,chocolate
1068,1/7/2015,pork
1068,8/3/2014,soda
1068,1/7/2015,spread cheese
1068,8/3/2014,yogurt
1069,20-08-2015,bottled beer
1069,20-08-2015,tropical fruit
1069,20-05-2014,brown bread
1069,20-01-2014,pork
1069,20-08-2015,sliced cheese
1069,20-08-2015,dishes
1069,20-05-2014,fruit/vegetable juice
1069,20-01-2014,rolls/buns
1069,18-12-2014,salt
1069,18-12-2014,domestic eggs
1070,10/4/2014,citrus fruit
1070,10/4/2014,red/blush wine
1070,5/11/2014,cream cheese 
1070,5/11/2014,newspapers
1071,26-09-2014,yogurt
1071,26-09-2014,roll products 
1071,26-09-2014,fruit/vegetable juice
1072,23-10-2015,frankfurter
1072,23-06-2014,ham
1072,23-10-2015,canned beer
1072,23-06-2014,other vegetables
1073,8/6/2015,pip fruit
1073,3/12/2015,finished products
1073,8/6/2015,curd
1073,5/6/2014,yogurt
1073,21-03-2014,brown bread
1073,8/6/2015,pip fruit
1073,3/12/2015,brown bread
1073,8/6/2015,prosecco
1073,5/6/2014,bottled water
1073,21-03-2014,salt
1073,3/12/2015,dishes
1073,5/6/2014,domestic eggs
1074,24-06-2015,misc. beverages
1074,16-10-2015,fruit/vegetable juice
1074,4/2/2014,semi-finished bread
1074,24-06-2015,instant coffee
1074,16-10-2015,flower (seeds)
1074,4/2/2014,ketchup
1074,8/5/2014,oil
1074,29-01-2014,detergent
1074,8/5/2014,shopping bags
1074,29-01-2014,candy
1075,19-11-2015,frankfurter
1075,29-01-2015,pip fruit
1075,20-07-2015,frankfurter
1075,19-11-2015,citrus fruit
1075,19-06-2014,UHT-milk
1075,19-11-2015,bottled water
1075,29-01-2015,rolls/buns
1075,20-07-2015,frozen meals
1075,19-11-2015,fruit/vegetable juice
1075,19-06-2014,canned fish
1075,20-07-2015,dishes
1076,14-10-2015,ham
1076,14-05-2015,frankfurter
1076,12/6/2015,sausage
1076,14-05-2015,chicken
1076,24-12-2014,sausage
1076,14-10-2015,whole milk
1076,14-10-2015,whole milk
1076,14-05-2015,butter
1076,12/6/2015,butter
1076,14-05-2015,bottled water
1076,24-12-2014,brown bread
1076,14-10-2015,coffee
1076,12/6/2015,bottled water
1077,12/9/2015,tropical fruit
1077,30-12-2014,rolls/buns
1077,30-08-2014,canned beer
1077,7/10/2014,other vegetables
1077,29-09-2014,white bread
1077,17-07-2014,pastry
1077,12/9/2015,soda
1077,30-12-2014,root vegetables
1077,30-08-2014,rolls/buns
1077,7/10/2014,butter
1077,29-09-2014,brown bread
1077,17-07-2014,pasta
1077,30-08-2014,artif. sweetener
1077,30-08-2014,soda
1078,28-10-2015,frankfurter
1078,28-10-2015,curd
1078,28-08-2014,chicken
1078,28-10-2015,white bread
1078,28-10-2015,rolls/buns
1078,28-08-2014,soda
1078,28-10-2015,coffee
1079,9/9/2015,rolls/buns
1079,7/10/2014,red/blush wine
1079,9/9/2015,onions
1079,7/10/2014,bottled water
1079,7/10/2014,sweet spreads
1079,9/9/2015,napkins
1080,14-05-2015,root vegetables
1080,14-05-2015,frozen vegetables
1080,2/11/2014,canned beer
1080,14-05-2015,pet care
1080,2/11/2014,soda
1081,25-04-2015,coffee
1081,6/3/2015,other vegetables
1081,3/5/2015,specialty bar
1081,21-01-2015,tropical fruit
1081,6/3/2015,frankfurter
1081,3/5/2015,tropical fruit
1081,25-04-2015,butter milk
1081,6/3/2015,newspapers
1081,3/5/2015,yogurt
1081,21-01-2015,whole milk
1081,6/3/2015,whole milk
1081,3/5/2015,bottled beer
1081,11/2/2014,beverages
1081,6/3/2015,pastry
1081,3/5/2015,baking powder
1081,11/2/2014,yogurt
1082,13-05-2014,beef
1082,20-03-2014,bottled water
1082,13-05-2014,margarine
1082,20-03-2014,hygiene articles
1082,13-05-2014,other vegetables
1083,6/2/2015,pork
1083,15-11-2014,hamburger meat
1083,15-07-2014,specialty chocolate
1083,6/2/2015,sliced cheese
1083,15-11-2014,whole milk
1083,15-07-2014,soda
1083,15-07-2014,bathroom cleaner
1084,18-04-2014,pip fruit
1084,18-04-2014,other vegetables
1085,15-08-2015,root vegetables
1085,24-04-2014,other vegetables
1085,15-08-2015,citrus fruit
1085,24-04-2014,shopping bags
1085,25-05-2014,yogurt
1085,24-04-2014,soda
1085,25-05-2014,newspapers
1086,28-12-2015,rolls/buns
1086,17-11-2015,other vegetables
1086,17-11-2015,beef
1086,26-09-2014,canned beer
1086,27-07-2014,rolls/buns
1086,10/12/2014,ice cream
1086,28-12-2015,citrus fruit
1086,17-11-2015,soda
1086,17-11-2015,curd
1086,26-09-2014,herbs
1086,27-07-2014,soda
1086,10/12/2014,whipped/sour cream
1086,17-11-2015,butter
1086,26-09-2014,margarine
1087,19-03-2015,sausage
1087,14-08-2015,herbs
1087,26-02-2014,sausage
1087,16-12-2014,soda
1087,25-07-2014,other vegetables
1087,13-10-2014,ham
1087,20-04-2014,whole milk
1087,11/12/2014,coffee
1087,19-03-2015,pip fruit
1087,14-08-2015,pot plants
1087,26-02-2014,beverages
1087,16-12-2014,flower (seeds)
1087,25-07-2014,whole milk
1087,13-10-2014,white bread
1087,20-04-2014,whole milk
1087,11/12/2014,berries
1087,19-06-2014,specialty chocolate
1087,19-03-2015,chocolate
1087,14-08-2015,cake bar
1087,19-06-2014,white bread
1087,16-12-2014,jam
1088,30-11-2015,tropical fruit
1088,9/11/2015,whole milk
1088,14-01-2015,yogurt
1088,30-11-2015,meat
1088,30-11-2015,other vegetables
1088,9/11/2015,hard cheese
1088,14-01-2015,berries
1088,30-11-2015,domestic eggs
1088,30-11-2015,baking powder
1089,5/12/2014,yogurt
1089,5/12/2014,sauces
1090,21-10-2015,ice cream
1090,31-08-2015,sausage
1090,31-08-2015,whisky
1090,4/10/2015,beef
1090,31-08-2015,specialty chocolate
1090,21-10-2015,whole milk
1090,31-08-2015,dishes
1090,31-08-2015,yogurt
1090,4/10/2015,yogurt
1090,31-08-2015,napkins
1090,31-08-2015,detergent
1090,31-08-2015,pastry
1092,9/10/2015,frankfurter
1092,27-07-2015,rolls/buns
1092,3/7/2015,photo/film
1092,16-05-2015,root vegetables
1092,16-05-2015,soda
1092,27-07-2015,grapes
1092,27-07-2015,bottled beer
1092,27-07-2015,sausage
1092,10/12/2014,yogurt
1092,9/10/2015,other vegetables
1092,27-07-2015,salty snack
1092,3/7/2015,shopping bags
1092,16-05-2015,specialty bar
1092,16-05-2015,other vegetables
1092,27-07-2015,Instant food products
1092,27-07-2015,domestic eggs
1092,27-07-2015,bottled water
1092,10/12/2014,newspapers
1092,16-05-2015,frozen vegetables
1092,9/10/2015,bottled beer
1093,28-03-2015,dessert
1093,28-03-2015,domestic eggs
1094,8/9/2015,sausage
1094,7/1/2015,sausage
1094,16-05-2015,tropical fruit
1094,7/1/2015,tropical fruit
1094,24-07-2014,pasta
1094,26-08-2014,chocolate marshmallow
1094,11/12/2014,hamburger meat
1094,11/3/2014,whole milk
1094,8/9/2015,whole milk
1094,7/1/2015,misc. beverages
1094,16-05-2015,soda
1094,7/1/2015,root vegetables
1094,24-07-2014,whole milk
1094,26-08-2014,other vegetables
1094,11/12/2014,detergent
1094,11/3/2014,brown bread
1094,18-08-2014,newspapers
1094,24-07-2014,waffles
1094,18-08-2014,salty snack
1094,11/12/2014,flour
1095,30-10-2015,packaged fruit/vegetables
1095,30-10-2015,bottled water
1095,25-03-2014,yogurt
1095,6/8/2014,pickled vegetables
1095,30-10-2015,pork
1095,30-10-2015,domestic eggs
1095,25-03-2014,shopping bags
1095,6/8/2014,flour
1096,28-07-2015,pip fruit
1096,28-07-2015,fruit/vegetable juice
1097,1/11/2015,tropical fruit
1097,25-09-2015,frankfurter
1097,1/11/2015,whole milk
1097,12/10/2014,whipped/sour cream
1097,3/5/2014,shopping bags
1097,16-04-2014,sausage
1097,26-11-2014,hard cheese
1097,1/11/2015,soda
1097,25-09-2015,whipped/sour cream
1097,1/11/2015,curd
